,freq,top_func,optional_func,source,new_info_source,events,gamification,importance
745,Несколько раз в неделю,Другое (Инвестиции и сбережения),Вебинары и семинары по финансовой грамотности,Мероприятия и акции банка,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, немного интереснее",5
746,Ежедневно,Другое (Финансовые советы и рекомендации),Личный финансовый аналитик,Реклама в интернете,Электронная почта,Встречи с финансовыми экспертами,"Да, значительно интереснее",2
747,Ежедневно,Участие в акциях и конкурсах,Личный финансовый аналитик,Другое (Финансовые блоги),Другое,Развлекательные мероприятия с участием банка,Другое (Безразлично),5
748,Ежедневно,Переводы и платежи,Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Социальные сети,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",4
749,Ежедневно,Другое (Инвестиции и сбережения),Дополнительные бонусы и скидки от партнеров,Социальные сети,Telegram,Финансовые челленджи и конкурсы,"Да, немного интереснее",5
750,Несколько раз в неделю,Участие в акциях и конкурсах,Личный финансовый аналитик,Социальные сети,Telegram,Финансовые челленджи и конкурсы,"Да, значительно интереснее",5
751,Несколько раз в неделю,Другое (Курсы финансовой грамотности),Финансовые игры и челленджи,Социальные сети,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",4
752,Несколько раз в месяц,Проверка баланса,Расширенные отчеты по расходам и доходам,Социальные сети,Социальные сети,Другое (Онлайн тренинги),"Да, значительно интереснее",4
753,Ежедневно,Участие в акциях и конкурсах,Расширенные отчеты по расходам и доходам,Мероприятия и акции банка,Другое,Другое (Онлайн тренинги),"Да, значительно интереснее",2
754,Несколько раз в месяц,Другое (Финансовые советы и рекомендации),Дополнительные бонусы и скидки от партнеров,Социальные сети,Социальные сети,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",4
755,Ежедневно,Проверка баланса,Личный финансовый аналитик,Реклама в интернете,Социальные сети,Спортивные мероприятия,"Нет, это отвлекает",3
756,Несколько раз в месяц,Другое (Курсы финансовой грамотности),Расширенные отчеты по расходам и доходам,Мероприятия и акции банка,Telegram,Вебинары и семинары по финансовой грамотности,"Да, значительно интереснее",4
757,Не использую,Финансовые консультации,Финансовые игры и челленджи,Мероприятия и акции банка,Другое,Другое (Онлайн тренинги),Нейтрально,4
758,Ежедневно,Другое (Инвестиции и сбережения),Финансовые игры и челленджи,Мероприятия и акции банка,Электронная почта,Развлекательные мероприятия с участием банка,"Да, немного интереснее",4
759,Ежедневно,Участие в акциях и конкурсах,Вебинары и семинары по финансовой грамотности,Рекомендации друзей и знакомых,Telegram,Вебинары и семинары по финансовой грамотности,Нейтрально,4
760,Несколько раз в неделю,Финансовые консультации,Дополнительные бонусы и скидки от партнеров,Мероприятия и акции банка,Другое,Вебинары и семинары по финансовой грамотности,"Да, немного интереснее",5
761,Несколько раз в неделю,Проверка баланса,Расширенные отчеты по расходам и доходам,Социальные сети,Социальные сети,Вебинары и семинары по финансовой грамотности,Нейтрально,4
762,Несколько раз в неделю,Участие в акциях и конкурсах,Дополнительные бонусы и скидки от партнеров,Социальные сети,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",3
763,Несколько раз в месяц,Проверка баланса,Вебинары и семинары по финансовой грамотности,Социальные сети,Социальные сети,Развлекательные мероприятия с участием банка,Нейтрально,3
764,Ежедневно,Финансовые консультации,Финансовые игры и челленджи,Мероприятия и акции банка,Социальные сети,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",3
765,Несколько раз в неделю,Участие в акциях и конкурсах,Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,Другое (Безразлично),5
766,Ежедневно,Проверка баланса,Расширенные отчеты по расходам и доходам,Реклама в интернете,Telegram,Вебинары и семинары по финансовой грамотности,"Да, значительно интереснее",3
767,Несколько раз в месяц,Финансовые консультации,Финансовые игры и челленджи,Другое (Финансовые блоги),Социальные сети,Вебинары и семинары по финансовой грамотности,Нейтрально,5
768,Несколько раз в неделю,Финансовые консультации,Личный финансовый аналитик,Социальные сети,Telegram,Спортивные мероприятия,"Да, немного интереснее",4
769,Несколько раз в месяц,Проверка баланса,Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, немного интереснее",4
770,Ежедневно,"Оформление продуктов (карты, кредиты)",Расширенные отчеты по расходам и доходам,Мероприятия и акции банка,Социальные сети,Другое (Онлайн тренинги),"Нет, это не влияет",4
771,Ежедневно,Финансовые консультации,Финансовые игры и челленджи,Рекомендации друзей и знакомых,Социальные сети,Встречи с финансовыми экспертами,"Нет, это отвлекает",4
772,Ежедневно,Другое (Инвестиции и сбережения),Финансовые игры и челленджи,Реклама в интернете,Социальные сети,Развлекательные мероприятия с участием банка,Нейтрально,5
773,Несколько раз в месяц,"Оформление продуктов (карты, кредиты)",Личный финансовый аналитик,Рекомендации друзей и знакомых,Telegram,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",2
774,Несколько раз в месяц,"Оформление продуктов (карты, кредиты)",Дополнительные бонусы и скидки от партнеров,Социальные сети,Уведомления в мобильном приложении,Финансовые челленджи и конкурсы,"Нет, это не влияет",5
775,Несколько раз в неделю,Участие в акциях и конкурсах,Финансовые игры и челленджи,Социальные сети,Уведомления в мобильном приложении,Финансовые челленджи и конкурсы,"Да, немного интереснее",3
776,Несколько раз в месяц,"Оформление продуктов (карты, кредиты)",Дополнительные бонусы и скидки от партнеров,Рекомендации друзей и знакомых,Электронная почта,Другое (Онлайн тренинги),Нейтрально,3
777,Несколько раз в месяц,Проверка баланса,Вебинары и семинары по финансовой грамотности,Социальные сети,Социальные сети,Финансовые челленджи и конкурсы,"Да, значительно интереснее",4
778,Ежедневно,Другое (Финансовые советы и рекомендации),Финансовые игры и челленджи,Мероприятия и акции банка,Другое,Финансовые челленджи и конкурсы,Нейтрально,5
779,Ежедневно,Финансовые консультации,Личный финансовый аналитик,Социальные сети,Электронная почта,Вебинары и семинары по финансовой грамотности,"Да, немного интереснее",5
780,Несколько раз в месяц,Проверка баланса,Расширенные отчеты по расходам и доходам,Социальные сети,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Нет, это не влияет",4
781,Ежедневно,Переводы и платежи,Расширенные отчеты по расходам и доходам,Социальные сети,Telegram,Другое (Онлайн тренинги),"Да, значительно интереснее",4
782,Ежедневно,Переводы и платежи,Расширенные отчеты по расходам и доходам,Реклама в интернете,Telegram,Вебинары и семинары по финансовой грамотности,"Да, немного интереснее",5
783,Ежедневно,Переводы и платежи,Личный финансовый аналитик,Реклама в интернете,Социальные сети,Развлекательные мероприятия с участием банка,Другое (Безразлично),3
784,Ежедневно,Участие в акциях и конкурсах,Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Уведомления в мобильном приложении,Вебинары и семинары по финансовой грамотности,"Да, немного интереснее",4
785,Несколько раз в неделю,Переводы и платежи,Расширенные отчеты по расходам и доходам,Социальные сети,Уведомления в мобильном приложении,Встречи с финансовыми экспертами,"Нет, это отвлекает",3
786,Несколько раз в неделю,Другое (Проверка кредитного рейтинга),Расширенные отчеты по расходам и доходам,Социальные сети,Telegram,Встречи с финансовыми экспертами,"Да, значительно интереснее",3
787,Несколько раз в неделю,Участие в акциях и конкурсах,Расширенные отчеты по расходам и доходам,Социальные сети,Социальные сети,Встречи с финансовыми экспертами,Нейтрально,4
788,Несколько раз в месяц,Проверка баланса,Финансовые игры и челленджи,Социальные сети,Уведомления в мобильном приложении,Встречи с финансовыми экспертами,"Нет, это не влияет",5
789,Ежедневно,Финансовые консультации,Дополнительные бонусы и скидки от партнеров,Социальные сети,Социальные сети,Развлекательные мероприятия с участием банка,"Нет, это не влияет",3
790,Несколько раз в неделю,Финансовые консультации,Финансовые игры и челленджи,Реклама в интернете,Telegram,Вебинары и семинары по финансовой грамотности,"Нет, это не влияет",5
791,Несколько раз в неделю,Финансовые консультации,Дополнительные бонусы и скидки от партнеров,Социальные сети,Уведомления в мобильном приложении,Финансовые челленджи и конкурсы,"Да, немного интереснее",4
792,Несколько раз в неделю,Другое (Инвестиции и сбережения),Финансовые игры и челленджи,Рекомендации друзей и знакомых,Telegram,Финансовые челленджи и конкурсы,"Да, значительно интереснее",5
793,Несколько раз в месяц,Переводы и платежи,Дополнительные бонусы и скидки от партнеров,Социальные сети,Социальные сети,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",3
794,Несколько раз в неделю,Проверка баланса,Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Социальные сети,Финансовые челленджи и конкурсы,"Да, значительно интереснее",4
795,Ежедневно,Переводы и платежи,Вебинары и семинары по финансовой грамотности,Рекомендации друзей и знакомых,Telegram,Вебинары и семинары по финансовой грамотности,"Да, немного интереснее",3
796,Несколько раз в месяц,Финансовые консультации,Вебинары и семинары по финансовой грамотности,Социальные сети,Telegram,Вебинары и семинары по финансовой грамотности,"Нет, это не влияет",3
797,Ежедневно,Проверка баланса,Дополнительные бонусы и скидки от партнеров,Рекомендации друзей и знакомых,Уведомления в мобильном приложении,Финансовые челленджи и конкурсы,"Да, значительно интереснее",3
798,Ежедневно,"Оформление продуктов (карты, кредиты)",Дополнительные бонусы и скидки от партнеров,Рекомендации друзей и знакомых,Социальные сети,Развлекательные мероприятия с участием банка,"Да, немного интереснее",3
799,Ежедневно,Участие в акциях и конкурсах,Дополнительные бонусы и скидки от партнеров,Социальные сети,Telegram,Спортивные мероприятия,"Да, значительно интереснее",2
800,Несколько раз в неделю,Финансовые консультации,Дополнительные бонусы и скидки от партнеров,Социальные сети,Telegram,Развлекательные мероприятия с участием банка,"Да, немного интереснее",5
801,Ежедневно,Переводы и платежи,Финансовые игры и челленджи,Социальные сети,Социальные сети,Другое (Онлайн тренинги),"Да, немного интереснее",2
802,Очень редко,Другое (Инвестиции и сбережения),Личный финансовый аналитик,Реклама в интернете,Электронная почта,Финансовые челленджи и конкурсы,"Да, значительно интереснее",4
803,Ежедневно,Проверка баланса,Дополнительные бонусы и скидки от партнеров,Социальные сети,Telegram,Встречи с финансовыми экспертами,"Нет, это не влияет",4
804,Несколько раз в неделю,Проверка баланса,Дополнительные бонусы и скидки от партнеров,Социальные сети,Другое,Другое (Онлайн тренинги),"Да, немного интереснее",5
805,Несколько раз в неделю,Переводы и платежи,Дополнительные бонусы и скидки от партнеров,Социальные сети,Telegram,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",5
806,Ежедневно,Другое (Курсы финансовой грамотности),Дополнительные бонусы и скидки от партнеров,Социальные сети,Социальные сети,Другое (Онлайн тренинги),Нейтрально,4
807,Ежедневно,Участие в акциях и конкурсах,Финансовые игры и челленджи,Рекомендации друзей и знакомых,Другое,Финансовые челленджи и конкурсы,"Да, немного интереснее",4
808,Несколько раз в неделю,Проверка баланса,Личный финансовый аналитик,Мероприятия и акции банка,Электронная почта,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",5
809,Несколько раз в месяц,Финансовые консультации,Личный финансовый аналитик,Социальные сети,Telegram,Развлекательные мероприятия с участием банка,Другое (Безразлично),3
810,Ежедневно,Финансовые консультации,Личный финансовый аналитик,Социальные сети,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,Нейтрально,3
811,Несколько раз в неделю,Переводы и платежи,Вебинары и семинары по финансовой грамотности,Другое (Финансовые блоги),Telegram,Встречи с финансовыми экспертами,Нейтрально,4
812,Несколько раз в месяц,Участие в акциях и конкурсах,Дополнительные бонусы и скидки от партнеров,Мероприятия и акции банка,Уведомления в мобильном приложении,Встречи с финансовыми экспертами,"Да, значительно интереснее",4
813,Ежедневно,Проверка баланса,Финансовые игры и челленджи,Мероприятия и акции банка,Уведомления в мобильном приложении,Встречи с финансовыми экспертами,"Да, значительно интереснее",3
814,Несколько раз в месяц,Другое (Инвестиции и сбережения),Расширенные отчеты по расходам и доходам,Другое (Финансовые блоги),Другое,Вебинары и семинары по финансовой грамотности,"Да, немного интереснее",2
815,Несколько раз в месяц,Другое (Инвестиции и сбережения),Финансовые игры и челленджи,Мероприятия и акции банка,Telegram,Развлекательные мероприятия с участием банка,"Да, немного интереснее",3
816,Несколько раз в месяц,Участие в акциях и конкурсах,Вебинары и семинары по финансовой грамотности,Реклама в интернете,Социальные сети,Развлекательные мероприятия с участием банка,Нейтрально,5
817,Несколько раз в месяц,Финансовые консультации,Финансовые игры и челленджи,Реклама в интернете,Уведомления в мобильном приложении,Вебинары и семинары по финансовой грамотности,"Нет, это не влияет",3
818,Несколько раз в неделю,Проверка баланса,Другое (Финансовые журналы),Рекомендации друзей и знакомых,Telegram,Встречи с финансовыми экспертами,"Да, значительно интереснее",5
819,Ежедневно,Участие в акциях и конкурсах,Вебинары и семинары по финансовой грамотности,Социальные сети,Уведомления в мобильном приложении,Вебинары и семинары по финансовой грамотности,Нейтрально,5
820,Ежедневно,Другое (Проверка кредитного рейтинга),Финансовые игры и челленджи,Социальные сети,Telegram,Встречи с финансовыми экспертами,"Нет, это отвлекает",3
821,Несколько раз в неделю,Проверка баланса,Вебинары и семинары по финансовой грамотности,Реклама в интернете,Уведомления в мобильном приложении,Другое (Онлайн тренинги),"Да, значительно интереснее",3
822,Не использую,Проверка баланса,Дополнительные бонусы и скидки от партнеров,Другое (Финансовые блоги),Telegram,Другое (Онлайн тренинги),"Да, значительно интереснее",4
823,Несколько раз в месяц,"Оформление продуктов (карты, кредиты)",Финансовые игры и челленджи,Другое (Финансовые блоги),Другое,Вебинары и семинары по финансовой грамотности,Нейтрально,5
824,Несколько раз в неделю,Проверка баланса,Личный финансовый аналитик,Социальные сети,Социальные сети,Финансовые челленджи и конкурсы,"Да, значительно интереснее",5
825,Несколько раз в неделю,Проверка баланса,Дополнительные бонусы и скидки от партнеров,Социальные сети,Другое,Финансовые челленджи и конкурсы,"Да, значительно интереснее",5
826,Несколько раз в месяц,Проверка баланса,Личный финансовый аналитик,Другое (Финансовые блоги),Telegram,Финансовые челленджи и конкурсы,"Да, значительно интереснее",5
827,Несколько раз в неделю,Переводы и платежи,Личный финансовый аналитик,Социальные сети,Telegram,Вебинары и семинары по финансовой грамотности,"Да, значительно интереснее",3
828,Несколько раз в месяц,Финансовые консультации,Вебинары и семинары по финансовой грамотности,Социальные сети,Уведомления в мобильном приложении,Другое (Онлайн тренинги),"Да, немного интереснее",3
829,Ежедневно,Проверка баланса,Другое (Финансовые журналы),Социальные сети,Telegram,Вебинары и семинары по финансовой грамотности,Нейтрально,3
830,Несколько раз в неделю,Другое (Курсы финансовой грамотности),Личный финансовый аналитик,Реклама в интернете,Уведомления в мобильном приложении,Вебинары и семинары по финансовой грамотности,"Да, немного интереснее",4
831,Ежедневно,Проверка баланса,Личный финансовый аналитик,Реклама в интернете,Другое,Финансовые челленджи и конкурсы,"Да, значительно интереснее",2
832,Несколько раз в неделю,Финансовые консультации,Вебинары и семинары по финансовой грамотности,Социальные сети,Telegram,Финансовые челленджи и конкурсы,"Нет, это не влияет",5
833,Ежедневно,Проверка баланса,Дополнительные бонусы и скидки от партнеров,Мероприятия и акции банка,Telegram,Развлекательные мероприятия с участием банка,Нейтрально,3
834,Ежедневно,Проверка баланса,Финансовые игры и челленджи,Рекомендации друзей и знакомых,Telegram,Финансовые челленджи и конкурсы,"Да, немного интереснее",3
835,Несколько раз в месяц,Финансовые консультации,Вебинары и семинары по финансовой грамотности,Реклама в интернете,Социальные сети,Развлекательные мероприятия с участием банка,Нейтрально,4
836,Несколько раз в месяц,"Оформление продуктов (карты, кредиты)",Финансовые игры и челленджи,Другое (Финансовые блоги),Telegram,Развлекательные мероприятия с участием банка,"Да, немного интереснее",3
837,Несколько раз в месяц,Переводы и платежи,Финансовые игры и челленджи,Реклама в интернете,Telegram,Вебинары и семинары по финансовой грамотности,"Да, немного интереснее",4
838,Ежедневно,Участие в акциях и конкурсах,Финансовые игры и челленджи,Социальные сети,Электронная почта,Финансовые челленджи и конкурсы,"Да, значительно интереснее",4
839,Несколько раз в неделю,Другое (Финансовые советы и рекомендации),Расширенные отчеты по расходам и доходам,Социальные сети,Уведомления в мобильном приложении,Встречи с финансовыми экспертами,"Да, значительно интереснее",5
840,Несколько раз в неделю,Переводы и платежи,Расширенные отчеты по расходам и доходам,Мероприятия и акции банка,Электронная почта,Развлекательные мероприятия с участием банка,"Да, немного интереснее",5
841,Ежедневно,Другое (Инвестиции и сбережения),Финансовые игры и челленджи,Рекомендации друзей и знакомых,Социальные сети,Вебинары и семинары по финансовой грамотности,"Да, значительно интереснее",4
842,Несколько раз в месяц,Участие в акциях и конкурсах,Вебинары и семинары по финансовой грамотности,Социальные сети,Электронная почта,Развлекательные мероприятия с участием банка,"Да, немного интереснее",4
843,Несколько раз в неделю,Переводы и платежи,Расширенные отчеты по расходам и доходам,Реклама в интернете,Уведомления в мобильном приложении,Другое (Онлайн тренинги),Нейтрально,4
844,Очень редко,Переводы и платежи,Дополнительные бонусы и скидки от партнеров,Рекомендации друзей и знакомых,Социальные сети,Вебинары и семинары по финансовой грамотности,Нейтрально,5
845,Ежедневно,"Оформление продуктов (карты, кредиты)",Финансовые игры и челленджи,Реклама в интернете,Telegram,Развлекательные мероприятия с участием банка,"Нет, это отвлекает",4
846,Несколько раз в неделю,Проверка баланса,Вебинары и семинары по финансовой грамотности,Другое (Финансовые блоги),Telegram,Финансовые челленджи и конкурсы,"Да, немного интереснее",5
847,Ежедневно,Финансовые консультации,Дополнительные бонусы и скидки от партнеров,Социальные сети,Социальные сети,Другое (Онлайн тренинги),"Нет, это не влияет",4
848,Ежедневно,Проверка баланса,Расширенные отчеты по расходам и доходам,Реклама в интернете,Telegram,Вебинары и семинары по финансовой грамотности,"Да, значительно интереснее",5
849,Несколько раз в неделю,"Оформление продуктов (карты, кредиты)",Вебинары и семинары по финансовой грамотности,Реклама в интернете,Уведомления в мобильном приложении,Встречи с финансовыми экспертами,"Нет, это не влияет",5
850,Несколько раз в неделю,Другое (Курсы финансовой грамотности),Расширенные отчеты по расходам и доходам,Реклама в интернете,Telegram,Финансовые челленджи и конкурсы,Другое (Безразлично),5
851,Несколько раз в месяц,Финансовые консультации,Дополнительные бонусы и скидки от партнеров,Другое (Финансовые блоги),Другое,Другое (Онлайн тренинги),"Да, значительно интереснее",5
852,Несколько раз в неделю,Проверка баланса,Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Уведомления в мобильном приложении,Вебинары и семинары по финансовой грамотности,"Да, немного интереснее",3
853,Ежедневно,Финансовые консультации,Расширенные отчеты по расходам и доходам,Социальные сети,Другое,Финансовые челленджи и конкурсы,Нейтрально,3
854,Ежедневно,Переводы и платежи,Расширенные отчеты по расходам и доходам,Реклама в интернете,Telegram,Другое (Онлайн тренинги),Нейтрально,4
855,Несколько раз в неделю,Финансовые консультации,Расширенные отчеты по расходам и доходам,Социальные сети,Социальные сети,Финансовые челленджи и конкурсы,"Да, немного интереснее",5
856,Ежедневно,Участие в акциях и конкурсах,Личный финансовый аналитик,Реклама в интернете,Социальные сети,Встречи с финансовыми экспертами,"Да, немного интереснее",3
857,Несколько раз в месяц,"Оформление продуктов (карты, кредиты)",Финансовые игры и челленджи,Реклама в интернете,Telegram,Вебинары и семинары по финансовой грамотности,"Нет, это отвлекает",3
858,Не использую,Другое (Инвестиции и сбережения),Расширенные отчеты по расходам и доходам,Реклама в интернете,Telegram,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",3
859,Несколько раз в месяц,Финансовые консультации,Финансовые игры и челленджи,Социальные сети,Социальные сети,Встречи с финансовыми экспертами,"Да, значительно интереснее",3
860,Ежедневно,Участие в акциях и конкурсах,Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Социальные сети,Встречи с финансовыми экспертами,"Да, значительно интереснее",3
861,Ежедневно,Другое (Проверка кредитного рейтинга),Расширенные отчеты по расходам и доходам,Социальные сети,Социальные сети,Финансовые челленджи и конкурсы,"Да, значительно интереснее",3
862,Несколько раз в неделю,Финансовые консультации,Расширенные отчеты по расходам и доходам,Социальные сети,Социальные сети,Вебинары и семинары по финансовой грамотности,"Да, немного интереснее",4
863,Несколько раз в неделю,Финансовые консультации,Дополнительные бонусы и скидки от партнеров,Рекомендации друзей и знакомых,Уведомления в мобильном приложении,Финансовые челленджи и конкурсы,"Да, значительно интереснее",5
864,Несколько раз в месяц,"Оформление продуктов (карты, кредиты)",Расширенные отчеты по расходам и доходам,Мероприятия и акции банка,Telegram,Развлекательные мероприятия с участием банка,"Да, немного интереснее",3
865,Ежедневно,Финансовые консультации,Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Социальные сети,Развлекательные мероприятия с участием банка,Нейтрально,3
866,Несколько раз в месяц,Проверка баланса,Вебинары и семинары по финансовой грамотности,Реклама в интернете,Социальные сети,Встречи с финансовыми экспертами,Нейтрально,4
867,Ежедневно,Другое (Проверка кредитного рейтинга),Расширенные отчеты по расходам и доходам,Социальные сети,Telegram,Развлекательные мероприятия с участием банка,"Да, немного интереснее",3
868,Ежедневно,Участие в акциях и конкурсах,Дополнительные бонусы и скидки от партнеров,Социальные сети,Уведомления в мобильном приложении,Встречи с финансовыми экспертами,"Нет, это отвлекает",3
869,Ежедневно,Другое (Проверка кредитного рейтинга),Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Другое,Развлекательные мероприятия с участием банка,Нейтрально,4
870,Ежедневно,Другое (Проверка кредитного рейтинга),Финансовые игры и челленджи,Социальные сети,Социальные сети,Вебинары и семинары по финансовой грамотности,"Нет, это не влияет",4
871,Очень редко,Проверка баланса,Дополнительные бонусы и скидки от партнеров,Мероприятия и акции банка,Социальные сети,Другое (Онлайн тренинги),Нейтрально,4
872,Несколько раз в месяц,Проверка баланса,Дополнительные бонусы и скидки от партнеров,Другое (Финансовые блоги),Уведомления в мобильном приложении,Другое (Онлайн тренинги),"Да, значительно интереснее",5
873,Ежедневно,Участие в акциях и конкурсах,Личный финансовый аналитик,Социальные сети,Telegram,Развлекательные мероприятия с участием банка,"Нет, это не влияет",5
874,Несколько раз в неделю,Переводы и платежи,Расширенные отчеты по расходам и доходам,Социальные сети,Электронная почта,Вебинары и семинары по финансовой грамотности,"Да, значительно интереснее",3
875,Несколько раз в месяц,Переводы и платежи,Финансовые игры и челленджи,Мероприятия и акции банка,Электронная почта,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",3
876,Ежедневно,Финансовые консультации,Дополнительные бонусы и скидки от партнеров,Мероприятия и акции банка,Telegram,Вебинары и семинары по финансовой грамотности,Нейтрально,5
877,Ежедневно,Другое (Инвестиции и сбережения),Личный финансовый аналитик,Социальные сети,Социальные сети,Другое (Онлайн тренинги),"Да, значительно интереснее",2
878,Несколько раз в месяц,Финансовые консультации,Расширенные отчеты по расходам и доходам,Рекомендации друзей и знакомых,Telegram,Вебинары и семинары по финансовой грамотности,Нейтрально,4
879,Несколько раз в месяц,Другое (Финансовые советы и рекомендации),Вебинары и семинары по финансовой грамотности,Реклама в интернете,Социальные сети,Другое (Онлайн тренинги),"Нет, это не влияет",5
